Email,Status
"প্রিয় গ্রাহক আপনি আমাদের বিশেষ অফারের জন্য নির্বাচিত হয়েছেন! আপনার ৫০% ছাড় পেতে এখানে ক্লিক করুন। সুযোগ সীমিত।",spam
"আপনার মোবাইল নম্বরটি ১০০০০০ টাকা জেতার জন্য নির্বাচিত হয়েছে! পুরস্কার পেতে আজই যোগাযোগ করুন।",spam
"হ্যালো আমি আজ তোমার সাথে কথা বলতে চাই।",ham
"প্রিয় ভাই ঈদের সময় বাড়ি আসার পরিকল্পনা কেমন?",ham
"হ্যালো তোমার প্রিয় সিনেমাটি কি দেখেছ?",ham
"আপনি কি জানেন মাত্র ৫০০ টাকায় পাবেন অসাধারণ সুবিধা? বিস্তারিত জানতে আমাদের সাথে যোগাযোগ করুন।",spam
"প্রিয় গ্রাহক আপনি আমাদের লটারি জিতেছেন! দয়া করে আপনার তথ্য প্রদান করুন এবং পুরস্কার সংগ্রহ করুন। (সম্পূর্ণ ফ্রি)",spam
"আপনার অ্যাকাউন্টটি আপডেট করার জন্য দয়া করে এই লিঙ্কে ক্লিক করুন এবং আপনার তথ্য প্রদান করুন। এটি গুরুত্বপূর্ণ!",spam
"সেরা দামে মোবাইল ফোন কিনুন! সীমিত সময়ের অফার। আজই আমাদের ওয়েবসাইটে গিয়ে অর্ডার করুন।",spam
"আপনার ব্যাংক অ্যাকাউন্ট সুরক্ষিত রাখতে এই লিঙ্কে ক্লিক করে আপনার পাসওয়ার্ড আপডেট করুন। এটি জরুরি।",spam
"অবিশ্বাস্য ডিসকাউন্ট! আমাদের নতুন পণ্য ক্রয় করে পান ৫০% ছাড়। অর্ডার করতে এখনই ক্লিক করুন।",spam
"বিশেষ ছাড়! আজই অর্ডার করুন এবং পেয়ে যান ৭৫% ডিসকাউন্ট। অফারটি সীমিত সময়ের জন্য। আমাদের ওয়েবসাইটে ভিজিট করুন।",spam
"আপনার মোবাইল নাম্বার লটারি ড্র তে জিতেছে। এখনই পুরস্কার পেতে আমাদের এই ইমেল আইডিতে যোগাযোগ করুন। সুযোগ হাতছাড়া করবেন না!",spam
"আপনি আমাদের বিজয়ী হয়েছেন! দয়া করে আপনার ব্যাংক তথ্য প্রদান করুন এবং পুরস্কার সংগ্রহ করুন।",spam
"আপনার মোবাইল নম্বরে ১০০ টাকা ফ্রি রিচার্জ করুন। এখনই লিঙ্কে ক্লিক করুন এবং অফার গ্রহণ করুন।",spam
"আপনার ক্রেডিট কার্ডে ৫০০০০ টাকা পর্যন্ত লিমিট বাড়াতে এখনই আবেদন করুন। লিঙ্কে ক্লিক করুন এবং বিস্তারিত জানুন।",spam
"প্রিয় গ্রাহক আমাদের নতুন পণ্যে ৭০% ছাড় পাচ্ছেন। এখনই অর্ডার করুন এবং বিশেষ ছাড় পান।",spam
"আপনার পাসপোর্ট নবায়নের জন্য জরুরি নোটিশ। দয়া করে এই লিঙ্কে ক্লিক করে তথ্য আপডেট করুন।",spam
"আপনার ইন্টারনেট বিল পরিশোধের সময় এসেছে। বিল পরিশোধ করতে এখনই এই লিঙ্কে ক্লিক করুন।",spam
"আপনার হেলথ ইনশুরেন্স পলিসি নবায়ন করার জন্য এখনই আবেদন করুন এবং ৩০% ছাড় পান।",spam
"অবিশ্বাস্য ডিসকাউন্ট! আমাদের নতুন পণ্য ক্রয় করে ৬০% ছাড় পান। অর্ডার করতে এখনই ক্লিক করুন।",spam
"আপনার গাড়ির ফ্রি সার্ভিসিং ভাউচার পেতে এখনই লিঙ্কে ক্লিক করুন। সীমিত সময়ের অফার।",spam
"অবিশ্বাস্য সুযোগ! আমাদের নতুন অফারে অংশ নিয়ে ১০০০০ টাকা জিতুন। এখনই লিঙ্কে ক্লিক করুন।",spam
"আপনার ব্যাংকিং সিকিউরিটি আপগ্রেড করার জন্য এই লিঙ্কে ক্লিক করুন এবং নির্দেশাবলী অনুসরণ করুন।",spam
"আপনার ইন্টারনেট প্যাকেজে ৫০% ছাড়! এখনই সাবস্ক্রাইব করুন এবং বিশেষ অফার উপভোগ করুন।",spam
"আপনার ফ্রিল্যান্সার অ্যাকাউন্ট সিকিউরিটি আপডেট করার জন্য লিঙ্কে ক্লিক করুন এবং তথ্য প্রদান করুন।",spam
"আপনার অ্যাকাউন্টে সন্দেহজনক কার্যক্রম দেখা গেছে। দয়া করে লিঙ্কে ক্লিক করে আপনার পাসওয়ার্ড পরিবর্তন করুন।",spam
"আপনার নতুন ক্রেডিট কার্ডের জন্য আবেদন করতে এখনই লিঙ্কে ক্লিক করুন এবং ১০০০০ টাকা পর্যন্ত ঋণ সুবিধা পান।",spam
"আপনার ফ্রিল্যান্সিং অ্যাকাউন্টে পেমেন্ট পেতে হলে এখনই আপনার ব্যাংক ডিটেইলস আপডেট করুন।",spam
"অবিশ্বাস্য ছাড়! আমাদের নতুন প্রোডাক্টে ৫০% ছাড় পেতে এখনই লিঙ্কে ক্লিক করুন এবং অর্ডার করুন।",spam
"আপনার অ্যাকাউন্টটি আপডেট করার জন্য আপনার পাসওয়ার্ড পরিবর্তন করতে এই লিঙ্কে ক্লিক করুন।",spam
"আপনার মোবাইল নম্বরে ফ্রি মিনিট পেতে এখনই এই লিঙ্কে ক্লিক করুন।",spam
"আপনার ব্যাংক অ্যাকাউন্ট সুরক্ষিত রাখার জন্য এখনই পাসওয়ার্ড পরিবর্তন করুন। লিঙ্কে ক্লিক করুন।",spam
"অবিশ্বাস্য সুযোগ! এই লিঙ্কে ক্লিক করে ৫০০০ টাকা পর্যন্ত ক্যাশব্যাক জিতুন।",spam
"আপনার ফেসবুক অ্যাকাউন্ট রিকভার করতে এই লিঙ্কে ক্লিক করুন এবং তথ্য প্রদান করুন।",spam
"সেরা দামে স্মার্টফোন পেতে এখনই লিঙ্কে ক্লিক করুন এবং ৫০% ছাড় উপভোগ করুন।",spam
"আপনার ক্রেডিট কার্ডের পয়েন্ট রিডিম করতে এখনই ক্লিক করুন এবং ১০০০০ টাকা পর্যন্ত ডিসকাউন্ট পান।",spam
"এখনই এই লিঙ্কে ক্লিক করে ৫০০ টাকা জিতুন এবং অবিশ্বাস্য অফার উপভোগ করুন।",spam
"আপনার নতুন পাসওয়ার্ড সেট করতে এখনই লিঙ্কে ক্লিক করুন। এটি জরুরি।",spam
"আপনার ব্যাংক অ্যাকাউন্ট আপডেট করতে এখনই এই লিঙ্কে ক্লিক করুন। এটি গুরুত্বপূর্ণ।",spam
"আপনার ফোনের ডাটা প্ল্যান রিচার্জ করতে এখনই লিঙ্কে ক্লিক করুন এবং ফ্রি ডাটা পান।",spam
"অবিশ্বাস্য সুযোগ! এখনই আমাদের অফার উপভোগ করতে লিঙ্কে ক্লিক করুন এবং ১০০% ক্যাশব্যাক পান।",spam
"আপনার ইমেইল অ্যাকাউন্ট পুনরুদ্ধার করতে এখনই এই লিঙ্কে ক্লিক করুন এবং নতুন পাসওয়ার্ড সেট করুন।",spam
"অবিশ্বাস্য অফার! সীমিত সময়ের জন্য ৭৫% ছাড়ে নতুন পণ্য পেতে এখনই লিঙ্কে ক্লিক করুন।",spam
"আপনার ক্রেডিট কার্ড ব্লক করা হয়েছে। পুনরায় সক্রিয় করতে লিঙ্কে ক্লিক করুন।",spam
"আপনার মোবাইলে ফ্রি রিচার্জ পেতে এখনই লিঙ্কে ক্লিক করুন।",spam
"অবিশ্বাস্য ডিসকাউন্ট! এখনই লিঙ্কে ক্লিক করুন এবং ১০০০০ টাকা পর্যন্ত ছাড় উপভোগ করুন।",spam
"আপনার ব্যাঙ্ক অ্যাকাউন্ট ভেরিফাই করতে এখনই লিঙ্কে ক্লিক করুন।",spam
"আপনার গোপনীয়তা সুরক্ষিত রাখতে এখনই লিঙ্কে ক্লিক করে পাসওয়ার্ড আপডেট করুন।",spam
"অবিশ্বাস্য অফার! আপনার ডেবিট কার্ড ব্যবহার করে এখনই ক্যাশব্যাক জিতুন। লিঙ্কে ক্লিক করুন।",spam
"অবিশ্বাস্য সুযোগ! এখনই এই লিঙ্কে ক্লিক করে ১০০০০ টাকা জিতুন।",spam
"আপনার ব্যাঙ্ক অ্যাকাউন্টের তথ্য আপডেট করতে এখনই এই লিঙ্কে ক্লিক করুন।",spam
"ফ্রি মোবাইল ফোন পেতে এখনই লিঙ্কে ক্লিক করুন। সীমিত সময়ের অফার।",spam
"আপনার পাসওয়ার্ড পরিবর্তন করতে এখানে ক্লিক করুন। নিরাপত্তার জন্য এটি জরুরি।",spam
"আপনি ৫০০০ টাকা পর্যন্ত ক্যাশব্যাক পেতে পারেন! এখনই লিঙ্কে ক্লিক করুন।",spam
"আপনার ক্রেডিট কার্ড লিমিট বাড়ানোর জন্য আবেদন করতে এখনই ক্লিক করুন।",spam
"এখনই রেজিস্টার করুন এবং ৭৫% ছাড়ে শপিং করুন! সীমিত সময়ের অফার।",spam
"আপনার অ্যাকাউন্টে সন্দেহজনক কার্যক্রম পাওয়া গেছে। এখনই লগইন করে সুরক্ষিত করুন।",spam
"ফ্রি ডাটা পেতে লিঙ্কে ক্লিক করুন এবং আপনার নম্বর যাচাই করুন।",spam
